index,id,tweets,likes,time
94,1530152974433009664,With Suffolk County District Attorney Kevin Hayden @DAKevinHayden @dartmouth @AngelaMcconney @karen_e https://t.co/IkpujyDCcC,3,2022-05-27 11:44:32
95,1530150994436362240,@Entelect Dartmouth College #EntelectDevDay,1,2022-05-27 11:36:40
96,1530150091486638080,@Entelect Dartmouth college #entelectdevday @Entelect,1,2022-05-27 11:33:05
97,1530149882429841408,@Entelect Dartmouth college #entelectdevday,1,2022-05-27 11:32:15
98,1530149549456728065,@Entelect Dartmouth College #EntelectDevDay,1,2022-05-27 11:30:56
99,1530148618665074690,@Entelect Dartmouth College @Entelect #entelectdevday,1,2022-05-27 11:27:14
100,1530147433430368257,@Entelect Dartmouth College #entelectdevday,1,2022-05-27 11:22:31
101,1530147375137927174,"@Entelect
Dartmouth College

#EntelectDevDay #entelectdevday",1,2022-05-27 11:22:17
102,1530147354036379650,@Entelect Dartmouth College #entelectdevday,1,2022-05-27 11:22:12
103,1530138241982144516,New suspect charged in vandalism of Dartmouth College menorah https://t.co/1kjOKmsSoI,0,2022-05-27 10:46:00
104,1530063654133018625,New suspect charged in vandalism of Dartmouth College menorah https://t.co/nyxSTOAgPZ,0,2022-05-27 05:49:37
105,1530046563300540416,"Even at party-hearty Dartmouth College in New Hampshire, the students in an entire dormitory have pledged to stay sober during their four years of school.",0,2022-05-27 04:41:42
106,1530023147595964416,#CornellUniversity #BrownUniversity #UniversityofNotreDame #VanderbiltUniversity #UniversityofFlorida #PrincetonUniversity #CaliforniaInstituteofTechnology #DartmouthCollege #WakeForestUniversity #BrandeisUniversity #CaseWesternReserveUniversity #UniversityofTexasAustin https://t.co/zuiw6XfHS0,0,2022-05-27 03:08:39
107,1530023100074512384,#CornellUniversity #BrownUniversity #UniversityofNotreDame #VanderbiltUniversity #UniversityofFlorida #PrincetonUniversity #CaliforniaInstituteofTechnology #DartmouthCollege #WakeForestUniversity #BrandeisUniversity #CaseWesternReserveUniversity #UniversityofTexasAustin https://t.co/oZUIseUkrs,0,2022-05-27 03:08:28
108,1530023034668449792,#StThomsaUniversity #GeorgeBrownCollege #NiagaraCollege #AlgonquinCollege #CapeBretonUniversity #CaliforniaInstituteofTechnology #UniversityofPennsylvania #UniversityofChicago #DartmouthCollege #DartmouthCollege #NorthwesternUniversity #WashingtonUniversityinStLouis https://t.co/Jvzd9yWZmL,0,2022-05-27 03:08:12
109,1530022338997141510,"@afierrog @HopkinsCenter @dartmouth @ConsulmexBoston @DiplomaciacMX ¡Bravo, Alberto!",1,2022-05-27 03:05:26
110,1530021408708894720,"Un privilegio participar en la inauguración del MusicMexicoSymposium en el @HopkinsCenter de @dartmouth . Dos días de dialogo interdisciplinario sobre el repertorio musical de México, su recepción en EU, y el estreno de 5 obras de compositores de Mx para  el Ensamble de Vientos. https://t.co/en3i5o4j3s",38,2022-05-27 03:01:44
111,1529987890670981131,Vermont Living:Visit Norwich VT #norwichvermont #dartmouthcollege #uppervalleynh #vtlodging #vtinns #vermont #kingarthurflour #norwichinn #vt #NorwichInn #VermontInns #VT,0,2022-05-27 00:48:33
112,1529987127102132226,Vermont Living:Visit Norwich VT #norwichvermont #dartmouthcollege #uppervalleynh #vtlodging #vtinns #vermont #kingarthurflour #norwichinn #vt,1,2022-05-27 00:45:31
